director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,genres,cast_total_facebook_likes,language,country,content_rating,budget,actor_2_facebook_likes,movie_facebook_likes
584,74,629,2201412,0,1173,0,0,R,12215500000,398,7000
0,38,717,211667,0,907,0,0,R,4200000000,126,4000
45,0,9,195888,0,11,0,0,R,2500000000,2,607
6000,745,893,2298191,0,2710,0,0,PG-13,2400000000,851,11000
78,101,488,410388,1,991,0,0,PG-13,2127519898,336,973
78,4,6,439162,1,28,0,0,R,1100000000,5,0
2,3,43,10037390,1,53,0,0,PG,1000000000,3,339
160,860,8000,3275443,0,10822,0,0,R,700000000,1000,659
98,4,341,1687311,0,371,0,0,PG-13,700000000,26,539
610,478,755,626809,1,2172,0,0,R,553632000,643,0
6,6,7,454255,1,32,0,0,R,400000000,6,124
0,15,51,14131298,0,144,1,0,R,390000000,40,0
563,1000,40000,309404152,1,48350,1,1,PG-13,300000000,5000,0
0,7,64,102055,1,134,0,0,R,300000000,45,0
475,530,640,73058679,1,1873,1,1,PG-13,263700000,632,24000
15,284,799,200807262,0,2036,1,1,PG,260000000,553,29000
0,4000,24000,336530303,1,46055,1,1,PG-13,258000000,11000,0
0,4000,24000,336530303,1,46055,1,1,PG-13,258000000,11000,0
22000,23000,27000,448130642,1,106759,1,1,PG-13,250000000,23000,164000
282,10000,25000,301956980,0,58753,1,0,PG,250000000,11000,10000
252,1000,40000,241063875,1,54083,1,1,PG-13,250000000,11000,58000
94,11000,21000,407197282,1,64798,1,1,PG-13,250000000,19000,72000
0,19000,26000,458991599,1,92000,1,1,PG-13,250000000,21000,118000
0,2000,15000,330249062,1,24450,1,1,PG-13,250000000,4000,197000
0,773,5000,255108370,0,9152,1,0,PG-13,250000000,972,65000
0,161,11000,200074175,1,11700,1,0,PG-13,245000000,393,85000
0,855,1000,760505847,1,4834,1,1,PG-13,237000000,936,33000
464,963,15000,262030663,1,28489,1,1,PG-13,230000000,10000,56000
563,1000,40000,423032628,1,48486,1,1,PG-13,225000000,5000,5000
188,718,10000,179020854,1,12572,1,1,PG-13,225000000,816,40000
80,201,22000,141614023,1,22697,1,1,PG,225000000,216,0
0,748,15000,291021565,1,20495,1,1,PG-13,225000000,3000,118000
0,773,5000,258355354,0,9152,1,1,PG-13,225000000,972,83000
0,19000,26000,623279547,1,87697,1,1,PG-13,220000000,21000,123000
0,19000,26000,623279547,1,87697,1,1,PG-13,220000000,21000,123000
563,1000,40000,89289910,1,45757,1,1,PG-13,215000000,2000,48000
0,11000,44000,234903076,0,73441,1,1,PG,215000000,15000,60000
0,11000,44000,234903076,0,73441,1,1,PG,215000000,15000,60000
420,560,20000,234360014,1,21714,1,0,PG-13,210000000,808,0
0,808,974,245428137,1,3988,1,1,PG-13,210000000,956,56000
532,627,14000,65173160,1,26679,1,1,PG-13,209000000,10000,44000
0,903,18000,200069408,1,29991,1,1,PG-13,209000000,10000,0
0,84,6000,218051260,1,7123,1,0,PG-13,207000000,919,0
0,84,6000,218051260,1,7122,1,0,PG-13,207000000,918,0
0,84,6000,218051260,1,7122,1,0,PG-13,207000000,918,0
13000,11000,40000,334185206,0,79957,1,1,PG,200000000,25000,24000
13000,11000,40000,334185206,0,79957,1,1,PG,200000000,25000,24000
4000,4000,21000,312057433,1,48638,1,1,PG-13,200000000,19000,18000
1000,3000,21000,408992272,1,30426,1,1,PG-13,200000000,4000,95000
776,310,1000,166112167,1,2144,1,1,PG-13,200000000,468,13000
487,776,1000,191450875,0,4482,1,1,G,200000000,919,10000
464,825,15000,202853933,1,28631,1,1,PG-13,200000000,10000,41000
395,393,451,168368427,1,2023,1,0,PG-13,200000000,412,0
368,988,23000,125320003,1,27468,1,1,PG-13,200000000,3000,0
258,326,16000,116593191,1,17657,1,1,PG-13,200000000,368,24000
179,236,15000,90755643,1,16149,1,1,PG-13,200000000,567,23000
125,721,15000,414984497,0,19085,1,1,G,200000000,1000,30000
84,191,648,150350192,1,1769,1,1,R,200000000,284,0
64,380,778,11905519,1,2205,0,0,R,200000000,635,0
37,760,12000,268488329,0,14863,1,1,G,200000000,779,44000
0,10000,18000,137850096,0,48878,1,1,PG,200000000,14000,0
0,794,29000,658672302,0,45223,1,1,PG-13,200000000,14000,26000
0,464,894,402076689,1,3218,1,1,PG-13,200000000,581,0
0,4000,24000,373377893,1,43388,1,1,PG-13,200000000,11000,0
0,393,883,304360277,1,2039,1,0,PG-13,200000000,563,80000
0,393,883,304360277,1,2039,1,0,PG-13,200000000,563,80000
0,20000,34000,233914986,1,91434,1,1,PG-13,200000000,22000,82000
0,738,891,105219735,1,3244,1,1,PG-13,200000000,882,17000
0,581,894,352358779,1,2593,1,1,PG-13,195000000,829,46000
0,140,979,65171860,0,1766,1,1,PG-13,195000000,557,22000
14000,928,19000,228756232,1,21411,1,1,PG-13,190000000,981,92000
663,604,2000,93417865,1,5046,1,1,PG,190000000,638,37000
395,1000,17000,202351611,1,32392,1,1,PG-13,190000000,11000,129000
0,14000,26000,350034110,1,79150,1,1,PG-13,190000000,23000,94000
0,919,16000,101785482,1,19166,1,1,PG-13,190000000,968,83000
22000,11000,23000,533316061,1,57802,1,1,PG-13,185000000,13000,37000
14000,1000,11000,317011114,1,14959,1,1,PG-13,185000000,1000,5000
681,105,998,130468626,1,1327,1,1,PG-13,185000000,119,30000
56,838,2000,237282182,0,5005,1,1,PG,185000000,1000,39000
475,522,1000,223806889,0,2975,1,1,G,180000000,729,16000
282,103,11000,124051759,1,21175,1,1,PG-13,180000000,10000,29000
282,103,11000,124051759,1,21175,1,1,PG-13,180000000,10000,29000
171,846,11000,241407328,1,15516,1,1,PG,180000000,2000,89000
129,1000,16000,70083519,0,24106,1,1,PG-13,180000000,6000,0
80,82,1000,291709845,0,1317,1,1,PG,180000000,190,0
0,773,5000,303001229,0,9152,1,1,PG-13,180000000,972,166000
218,509,10000,100189501,1,12652,1,1,PG-13,178000000,854,77000
0,1000,34000,154985087,1,49684,1,1,PG-13,178000000,13000,54000
0,13000,17000,47375327,1,47334,1,1,PG-13,176000000,15000,44000
4000,591,19000,362645141,0,32921,1,0,PG,175000000,13000,65000
4000,591,19000,362645141,0,32921,1,0,PG,175000000,13000,65000
452,329,10000,161087183,1,11287,1,1,PG-13,175000000,336,80000
293,7000,87000,100289690,0,108016,1,1,PG,175000000,11000,2000
249,844,11000,133228348,0,17944,1,1,R,175000000,5000,0
208,570,23000,150167630,1,26683,1,1,PG-13,175000000,2000,0
58,60,711,88246220,1,1004,1,1,PG-13,175000000,60,0
47,982,18000,38297305,1,20965,1,1,PG-13,175000000,1000,35000
11,459,1000,198332128,1,2579,1,1,PG,175000000,973,0
0,384,1000,356454367,0,2944,1,1,PG,175000000,767,118000
0,262,1000,292979556,0,2635,1,1,PG,175000000,848,27000
17000,1000,17000,73820094,0,36017,1,1,PG,170000000,16000,42000
571,3000,14000,333130696,1,32438,1,1,PG-13,170000000,14000,96000
364,1000,12000,172051787,1,25550,1,1,PG,170000000,10000,30000
364,1000,12000,172051787,1,25549,1,1,PG,170000000,10000,30000
274,11000,26000,155111815,1,72881,1,1,PG-13,170000000,17000,53000
230,12000,26000,206360018,1,59803,1,1,PG-13,170000000,20000,63000
198,884,10000,208543795,1,14363,1,1,PG-13,170000000,2000,45000
188,582,10000,113745408,1,15870,1,1,PG-13,170000000,4000,0
94,2000,19000,259746958,1,36188,1,1,PG-13,170000000,11000,55000
33,11000,40000,76846624,0,80806,1,1,PG,170000000,25000,30000
22000,6000,11000,187991439,0,31488,1,1,PG-13,165000000,11000,349000
776,535,890,102315545,1,3233,1,1,PG-13,165000000,812,67000
255,759,18000,217387997,0,20453,1,1,PG,165000000,953,33000
66,833,975,189412677,0,4451,1,1,PG,165000000,931,40000
38,562,756,222487711,1,2963,1,1,PG,165000000,719,41000
31,213,4000,238371987,0,4628,1,1,PG,165000000,225,0
0,267,15000,665426,0,16264,1,1,G,165000000,726,10000
22000,23000,29000,292568851,1,81115,1,1,PG-13,160000000,27000,175000
905,1000,34000,146405371,1,50983,1,1,PG-13,160000000,13000,54000
508,14000,34000,281666058,0,81385,1,1,PG-13,160000000,22000,38000
249,702,87000,60655503,1,92456,1,1,PG-13,160000000,2000,0
101,202,673,48068396,1,2027,1,1,PG-13,160000000,368,894
63,,63,10762178,0,66,1,0,G,160000000,3,1000
50,692,3000,320706665,0,4705,1,1,PG,160000000,795,0
0,648,3000,46978995,1,5505,1,1,PG-13,160000000,716,89000
230,2000,24000,89732035,1,38873,1,1,PG-13,155000000,10000,82000
150,59,531,104383624,0,764,1,1,PG,155000000,82,11000
0,591,12000,34293771,1,24598,1,0,R,155000000,11000,0
22000,11000,23000,205343774,1,59558,1,1,PG-13,150000000,14000,15000
21000,919,11000,127490802,0,13333,1,1,PG-13,150000000,1000,23000
14000,981,26000,257704099,1,39284,1,1,PG-13,150000000,12000,19000
14000,979,22000,133382309,1,34817,1,1,PG-13,150000000,10000,0
13000,588,40000,206456431,0,57844,1,1,PG,150000000,16000,0
2000,294,15000,133375846,0,16948,1,1,PG-13,150000000,745,0
776,256,17000,73103784,1,18204,1,1,PG-13,150000000,551,33000
750,943,27000,153629485,1,40025,1,0,R,150000000,9000,191000
663,954,1000,206435493,0,4764,1,1,G,150000000,1000,10000
608,168,613,93926386,1,1205,1,1,PG-13,150000000,172,0
532,979,10000,227946274,1,21584,1,1,PG-13,150000000,9000,0
508,558,10000,256386216,0,13076,1,1,PG-13,150000000,1000,11000
473,502,14000,83640426,1,16184,1,1,PG-13,150000000,897,19000
456,394,20000,34964818,0,21393,1,1,PG,150000000,548,24000
456,394,20000,34964818,0,21393,1,1,PG,150000000,548,24000
456,394,20000,34964818,0,21404,1,1,PG,150000000,559,24000
394,162,12000,61937495,0,13071,1,1,R,150000000,490,0
365,1000,3000,652177271,1,8458,1,1,PG-13,150000000,2000,150000
282,687,21000,292000866,0,33433,1,0,PG-13,150000000,11000,0
258,834,6000,167007184,1,9125,1,0,PG-13,150000000,1000,0
258,834,6000,167007184,1,9125,1,0,PG-13,150000000,1000,0
255,882,3000,134518390,1,5811,1,1,PG-13,150000000,1000,0
226,370,12000,63143812,1,13388,1,1,PG,150000000,418,11000
189,1000,49000,177243721,0,54039,1,1,PG,150000000,3000,2000
188,641,10000,195000874,1,21840,1,0,PG-13,150000000,10000,47000
179,10000,21000,289994397,0,53413,1,0,PG-13,150000000,11000,0
151,2000,20000,179883016,1,40054,1,1,PG-13,150000000,16000,0
90,15,11000,165230261,1,21015,1,1,PG,150000000,10000,20000
80,48,692,436471036,0,1148,1,1,PG,150000000,309,0
69,490,1000,400736600,0,2582,1,1,PG,150000000,523,58000
59,699,17000,114053579,0,20007,1,1,PG,150000000,759,0
58,826,2000,126597121,0,6576,1,1,PG,150000000,852,0
35,436,1000,179982968,1,3285,1,1,PG,150000000,851,0
25,433,921,21379315,1,2652,1,1,PG,150000000,562,0
12,182,730,119420252,1,2217,1,1,PG,150000000,607,0
10,397,925,135381507,0,2252,1,1,G,150000000,729,912
0,346,1000,131564731,1,2857,1,1,PG,150000000,756,18000
0,581,662,318759914,1,2333,1,1,PG-13,150000000,599,8000
0,12000,26000,181015141,1,60059,1,1,PG-13,150000000,20000,63000
0,964,18000,82161969,1,31523,1,1,PG-13,150000000,12000,3000
0,30,234,281492479,1,534,1,1,R,150000000,198,0
0,233,309,139259759,1,1062,1,0,R,150000000,269,0
42,586,20000,64459316,0,35161,1,0,PG,149000000,14000,0
663,690,10000,209364921,1,21768,1,1,PG-13,145000000,10000,35000
357,595,5000,102176165,1,9131,1,1,PG-13,145000000,3000,0
255,953,18000,176997107,1,23378,1,1,PG,145000000,3000,46000
52,161,20000,103400692,0,20645,1,1,PG,145000000,315,25000
50,517,3000,111505642,0,5810,1,1,PG,145000000,1000,11000
35,436,851,216366733,0,2444,1,1,PG,145000000,770,17000
5,967,24000,143523463,1,36095,1,1,PG,145000000,11000,24000
176,322,783,118099659,1,2097,1,1,PG-13,144000000,370,62000
176,322,783,118099659,1,2097,1,1,PG-13,144000000,370,62000
93,746,769,160201106,1,2538,1,0,PG-13,142000000,766,0
14000,358,535,52792307,0,1950,1,0,PG,140000000,400,27000
4000,4000,21000,318298180,1,39252,1,1,PG-13,140000000,12000,10000
563,1000,40000,305388685,1,48184,1,1,PG-13,140000000,5000,10000
503,91,5000,129734803,1,6171,1,1,R,140000000,808,0
420,173,268,140080850,1,1125,1,1,PG-13,140000000,268,0
394,2000,11000,176636816,1,19761,1,1,PG-13,140000000,3000,46000
380,445,10000,111110575,1,11945,1,1,R,140000000,956,0
295,284,18000,31141074,1,19769,1,1,PG-13,140000000,934,24000
249,461,784,182618434,1,2684,1,1,PG-13,140000000,638,0
188,826,10000,190418803,1,14823,1,1,PG-13,140000000,3000,2000
63,720,23000,38120554,0,26940,1,1,PG,140000000,770,0
0,537,13000,201573391,1,26029,1,1,PG-13,140000000,12000,11000
0,691,3000,198539855,1,5401,1,1,PG-13,140000000,961,0
0,748,23000,65007045,1,26490,1,0,PG-13,140000000,893,51000
0,748,23000,65007045,1,26489,1,0,PG-13,140000000,892,51000
0,4000,24000,403706375,1,40484,1,1,PG-13,139000000,11000,5000
6,422,12000,32131830,1,15015,1,1,PG-13,137000000,2000,0
0,258,820,132122995,1,1814,1,1,PG-13,137000000,300,0
14000,845,2000,77564037,1,4631,1,1,PG,135000000,871,44000
750,988,49000,63992328,0,62644,1,0,PG,135000000,11000,0
563,939,40000,123207194,0,43291,1,1,PG,135000000,1000,26000
357,653,820,31704416,1,2705,1,1,PG-13,135000000,780,0
150,244,766,126930660,1,2037,1,0,PG-13,135000000,536,2000
16,12000,16000,187165546,0,43286,1,1,PG,135000000,15000,28000
13,463,16000,83024900,0,17416,1,1,PG,135000000,881,13000
13,799,5000,81638674,1,8306,1,1,PG-13,135000000,833,12000
12,183,17000,177343675,0,17883,1,1,PG,135000000,523,26000
12,183,17000,177343675,0,17883,1,1,PG,135000000,523,26000
12,183,17000,177343675,0,17883,1,1,PG,135000000,523,26000
0,733,29000,183635922,0,57108,1,1,R,135000000,27000,190000
50,692,979,140015224,0,3382,1,0,PG,133000000,886,0
14000,807,10000,234277056,0,12758,1,1,PG-13,132000000,1000,0
35,179,19000,83348920,0,19963,1,1,PG,132000000,411,11000
1000,165,309,49551662,0,921,1,0,PG-13,130000000,284,0
508,523,34000,424645577,0,49355,1,1,PG-13,130000000,14000,82000
235,680,2000,180191634,1,5730,1,1,PG-13,130000000,2000,61000
209,934,17000,122512052,1,31958,1,1,PG-13,130000000,12000,42000
167,702,11000,131920333,1,15302,1,1,PG,130000000,2000,0
124,1000,16000,33592415,1,31549,1,1,PG-13,130000000,12000,20000
96,8000,24000,148337537,1,46120,1,1,PG,130000000,11000,13000
54,562,11000,215395021,1,12754,1,1,PG,130000000,967,6000
50,397,4000,149234747,1,5046,1,1,PG,130000000,442,16000
42,848,11000,68642452,1,13073,1,0,PG-13,130000000,973,0
0,10000,11000,249358727,0,33284,1,0,PG,130000000,10000,11000
0,894,10000,60522097,1,14168,1,1,PG-13,130000000,943,37000
0,877,10000,138396624,1,12954,1,1,R,130000000,898,0
0,641,13000,126464904,0,24098,1,1,R,130000000,9000,97000
0,413,986,107503316,1,2530,1,1,R,130000000,745,18000
0,195,14000,47396698,1,19600,1,1,R,130000000,5000,0
0,388,1000,137748063,0,2945,1,1,PG,127500000,558,0
189,1000,49000,113733726,0,53587,1,1,PG,127000000,3000,11000
0,3000,19000,35799026,1,34839,1,1,PG-13,126000000,12000,0
0,3000,19000,35799026,1,34838,1,1,PG-13,126000000,12000,0
2000,362,15000,217536138,0,16008,1,1,PG-13,125000000,574,0
776,812,15000,186739919,1,20553,1,1,PG-13,125000000,2000,19000
681,12000,23000,209805005,1,55345,1,1,PG-13,125000000,14000,54000
610,653,10000,215397307,1,11930,1,1,PG-13,125000000,794,0
541,409,920,107285004,1,2699,1,1,PG-13,125000000,890,0
508,14000,34000,337103873,0,81385,1,1,PG-13,125000000,22000,52000
473,429,833,190871240,1,2690,1,1,PG-13,125000000,809,62000
